,broadcasts_num,creation_year,followers,following,highlights_num,in_partnership,language,mature,name,teams,views,type
0,455,2011,11932442,247,247,True,en,False,ninja,1,356868818,person
1,871,2012,4672585,70,35,True,en,False,shroud,0,226014173,person
2,60,2015,4439377,168,106,True,en,True,tsm_myth,2,62076447,person
3,66,2011,3320792,185,268,True,en,False,summit1g,2,245213917,channel
4,100,2014,3266302,418,152,True,en,False,tfue,1,48294410,person
5,1505,2012,3230281,16,332,True,en,False,riotgames,2,1063933983,channel
6,84,2012,2934415,269,5,True,en,True,timthetatman,1,106509200,person
7,48,2010,2859797,80,41,True,en,False,drdisrespectlive,2,99135539,person
8,57,2013,2813689,112,1,True,en,True,Dakotaz,1,65137655,person
9,55,2016,2757789,256,0,True,en,True,tsm_daequan,1,32257972,person
10,34,2010,2637889,116,14,True,en,False,syndicate,0,49682418,person
11,102,2012,2570926,283,165,True,en,False,drlupo,7,41105682,person
12,2059,2012,2479494,10,1898,True,en,False,esl_csgo,9,297660675,channel
13,75,2011,2432601,0,124,True,en,False,imaqtpie,0,295681802,person
14,330,2013,2347919,271,25,True,en,False,pokimane,6,46789199,person
15,31,2011,2306907,57,173,True,en,False,nightblue3,1,200138902,person
16,2791,2011,2267112,93,393,True,en,False,lirik,5,266056739,person
17,294,2011,2178594,502,244,True,en,True,sodapoppin,5,242436609,person
18,250,2013,1909365,65,92,True,en,True,loltyler1,0,85748798,person
19,42,2010,1812307,45,935,True,en,False,nickmercs,1,35452735,person
20,56,2010,1669546,387,1624,True,en,False,cdnthe3rd,2,31723019,person
21,83,2012,1609288,149,723,True,en,False,sypherpk,1,24991688,person
22,46,2013,1510961,51,575,True,en,False,castro_1021,0,50069369,person
23,102,2014,1497159,179,1017,True,en,False,joshog,2,58533691,person
24,551,2012,1493085,21,2779,True,en,False,faceittv,3,178546675,channel
25,21,2007,1491037,1,0,True,ko,False,faker,1,40819270,person
26,59,2012,1462966,44,639,True,en,False,dyrus,1,214256318,person
27,184,2015,1461033,2,325,True,en,False,eleaguetv,0,121589489,channel
28,68,2014,1459145,186,1,True,en,False,fortnite,1,29140334,channel
29,6,2012,1449012,21,23,True,en,False,tsm_bjergsen,1,91718261,person
30,24,2013,1447865,2,294,True,en,False,gosu,2,104904683,person
31,666,2011,1433250,15,523,True,en,False,dreamhackcs,4,152056266,channel
32,82,2012,1416751,29,1417,True,en,False,boxbox,2,84447505,person
33,1405,2008,1371138,131,313,True,en,False,goldglove,3,54935882,person
34,34,2014,1354287,277,5,True,en,False,tsm_hamlinz,1,14564800,person
35,42,2014,1348552,98,58,True,es,False,lolitofdez,0,24988280,person
36,426,2011,1341714,23,58,True,en,False,gamesdonequick,2,202200976,person
37,14,2011,1315030,45,0,True,en,False,c9sneaky,1,87866590,person
38,488,2012,1307462,58,158,True,pt,False,alanzoka,0,37791916,person
39,43,2010,1275966,0,165,True,en,False,captainsparklez,0,22120533,person
40,105,2011,1238624,42,3258,True,fr,False,gotaga,1,45945823,person
41,88,2013,1220297,69,128,True,de,True,montanablack88,1,25300850,person
42,436,2013,1215033,87,15,True,pt,False,yoda,1,118593474,person
43,68,2012,1200279,112,2216,True,en,True,trick2g,3,133352604,person
44,2841,2012,1189296,3,16,True,en,False,nl_kripp,2,204697311,person
45,119,2016,1155048,1,1402,True,en,False,overwatchleague,2,127150938,channel
46,9,2013,1153352,0,1,True,en,False,doublelift,1,63631950,person
47,69,2014,1133025,221,97,True,en,False,kingrichard,2,18925759,person
48,79,2015,1120190,283,156,True,en,True,highdistortion,1,16148603,person
49,2831,2008,1078532,172,4166,True,en,False,swiftor,2,42389563,person
50,262,2012,1070830,64,528,True,pl,False,izakooo,7,124090513,person
51,1512,2010,1062927,175,70,True,en,False,jericho,0,24101751,person
52,64,2016,1048571,100,104,True,en,False,cizzorz,1,10245577,person
53,927,2010,1028470,23,217,True,en,False,Voyboy,1,115617428,person
54,3809,2011,1011053,225,356,True,en,False,cohhcarnage,5,101372841,person
55,3809,2011,1011053,225,356,True,en,False,%63ohhcarnage,5,101372841,person
56,3,2012,993202,5,0,True,en,False,sivhd,0,37823881,person
57,267,2011,969939,26,228,True,en,True,nadeshot,1,43245239,person
58,111,2014,966275,45,97,True,en,True,sovietwomble,1,16703744,person
59,47,2013,957614,416,724,True,en,False,kittyplays,1,25738396,person
60,24,2009,956103,52,30,True,tr,False,jahrein,1,36920507,person
61,54,2011,947406,0,0,True,en,True,forsen,1,88888331,person
62,32,2014,944199,32,325,True,en,False,anomaly,1,21301765,person
63,430,2015,939828,8,0,True,en,False,bobross,1,19127388,channel
64,478,2012,939510,61,27,True,de,False,ungespielt,0,28614093,person
65,63,2015,918209,161,12,True,en,False,couragejd,1,13759509,person
66,10,2010,897834,66,49,True,de,False,Gronkh,0,55117788,person
67,140,2013,893159,62,705,True,en,False,amazhs,2,93598583,person
68,66,2009,889058,131,2329,True,en,True,grimmmz,4,36658409,person
69,77,2013,883459,127,665,True,en,False,kinggothalion,2,37197453,person
70,59,2014,879799,173,9,True,es,False,elded,0,14736361,person
71,57,2013,879644,75,13,True,tr,True,wtcn,1,37271796,person
72,60,2012,877607,62,1150,True,en,False,tsm_theoddone,1,202543451,person
73,76,2010,876042,171,86,True,en,False,a_seagull,0,25945332,person
74,81,2012,866015,26,44,True,en,False,markiplier,1,6722825,person
75,8,2015,850413,26,18,True,tr,False,unlostv,1,26027355,person
76,1405,2012,847422,7,2777,True,ru,False,starladder5,4,167092076,channel
77,37,2012,841001,87,17,True,tr,False,zeeoon,1,42966227,person
78,1,2018,836145,1,0,False,en,False,loganpaulwastaken,0,3745766,person
79,43,2010,826096,146,131,True,en,False,trumpsc,1,103936493,person
80,60,2013,821519,17,351,True,en,True,nick28t,0,30378349,person
81,74,2015,821259,42,23,True,en,False,Disguisedtoasths,0,46499844,person
82,341,2011,809976,276,37,True,en,False,GiantWaffle,7,46775761,person
83,203,2014,804426,35,73,True,en,False,rocketleague,0,61638178,channel
84,659,2007,796554,55,1172,True,en,False,twitch,1,207426477,channel
85,67,2015,795477,212,3,True,en,False,Stpeach,1,19656057,person
86,587,2009,793630,31,862,True,en,False,reckful,0,102785006,person
87,38,2014,789173,276,2,True,es,False,arigameplays,0,6630569,person
88,388,2014,782757,18,609,True,en,True,rainbow6,1,26781029,channel
89,179,2011,773195,1,319,True,en,False,pgl,2,68725389,channel
90,70,2014,770526,128,7,True,en,False,xqcow,0,35081925,person
91,13,2013,770021,75,213,True,en,True,omgitsfirefoxx,0,8944459,person
92,2,2012,765116,40,25,True,en,False,monstercat,1,23728828,channel
93,56,2009,759274,147,79,True,en,True,cryaotic,3,39681216,person
94,70,2018,752611,16,0,True,es,False,fernanfloo,0,6870489,person
95,28,2013,750305,61,11,True,de,False,rewinside,0,9262682,person
96,824,2011,747901,303,75,True,en,False,gassymexican,5,20514437,person
97,5225,2009,734768,214,3213,True,en,False,dansgaming,2,100623714,person
98,56,2012,726171,20,79,True,en,False,froggen,0,70326485,person
99,31,2011,721235,129,51,True,en,False,aphromoo,1,68384199,person
100,2608,2011,721205,27,69,True,en,False,yogscast,1,90265284,person
101,54,2015,722554,342,23,True,en,False,cloakzy,1,7557599,person
102,88,2016,718574,45,123,True,en,True,amouranth,0,50519837,person
103,3312,2012,715943,19,7385,True,en,False,beyondthesummit,3,370359325,channel
104,411,2012,713785,168,8,True,en,False,alinity,3,41961085,person
105,35,2013,713105,78,16,True,en,False,kaypealol,1,20581486,person
106,58,2016,708174,49,2,True,en,False,yassuo,1,18278368,person
107,60,2011,701198,15,391,True,en,False,scarra,0,67309990,person
108,45,2014,697625,136,8,True,pt,False,jukes,2,38026050,person
109,53,2012,694923,183,83,True,en,True,m0e_tv,1,21667044,person
110,118,2013,694467,1253,251,True,en,False,loserfruit,2,20611191,person
111,530,2013,692460,2,662,True,en,False,playhearthstone,0,109622472,channel
112,67,2013,680931,609,586,True,en,False,ProfessorBroman,8,19564365,person
113,386,2008,676094,0,237,True,en,True,callofduty,1,40903097,channel
114,239,2012,672757,134,6,True,en,True,warframe,0,14513727,channel
115,3,2011,671664,837,47,True,pt,False,hastad,0,40660425,person
116,83,2013,667837,25,10,True,fr,False,squeezielive,0,5069747,person
117,11,2017,662485,3,2,True,en,False,twitchpresents,0,111978264,channel
118,9,2012,657280,84,268,True,pt,False,gafallen,0,17408977,person
119,2115,2011,654860,243,667,True,en,True,towelliee,6,121128431,person
120,6,2013,647441,185,48,True,en,False,wildcat,0,2837318,person
121,38,2012,645661,279,193,True,en,True,legendarylea,0,39912257,person
122,94,2016,644134,181,22,True,en,True,moonmoon_ow,0,42467704,person
123,59,2014,644960,160,609,True,de,False,Trymacs,1,19618343,person
124,17,2013,643458,3,95,True,en,False,scream,0,13299548,person
125,42,2015,641581,128,3,True,en,False,aimbotcalvin,1,25287341,person
126,31,2011,635810,3,149,True,fr,True,Aiekillu,2,22497097,person
127,171,2016,634304,0,0,True,en,False,nalcs,0,71924544,channel
128,14,2015,625065,129,2,True,en,True,pink_sparkles,0,18981838,person
129,40,2013,618843,2,2,True,ru,False,cheatbanned,0,41572626,person
130,2,2014,618661,342,910,True,pt,False,skipnho,0,33015560,person
131,63,2013,618302,249,18286,True,en,False,cowsep,2,30408092,person
132,33,2011,617324,40,43,True,en,False,nickbunyun,0,6931448,person
133,2,2014,617339,6,0,True,en,False,s1mple,1,19799982,person
134,97,2016,608692,52,0,True,en,False,playbattlegrounds,1,25188047,channel
135,2,2011,605862,170,23,True,en,False,MiniLaddd,1,3361840,person
136,1,2013,602820,28,201,True,en,False,dendi,2,52165911,person
137,93,2015,600874,6,0,True,en,False,tobiasfate,0,27635005,person
138,53,2010,599504,16,5,True,en,False,kyr_sp33dy,0,3822548,person
139,13,2014,597175,188,681,True,en,True,cashnastygaming,3,5999753,person
